Sample	Bio1	Bio2	Bio3	Bio4	Bio5	Bio6	Bio7	Bio8	Bio9	Bio10	Bio11	Bio12	Bio13	Bio14
Tol	545	151	118	36	6733	20	319	77	241	241	469	59	5	45
Taz	318	187	122	39	6284	49	311	111	271	271	521	86	1	66
Tun	20	182	98	40	5430	73	245	116	249	254	825	152	3	70
Mon	723	133	93	43	4183	44	214	93	186	191	731	111	4	63
Cor	337	141	59	29	5019	55	198	121	206	209	639	92	9	48
Haz	1316	123	117	38	6224	-3	304	60	207	208	573	71	9	49
Sic	273	161	76	34	5187	63	219	144	227	230	432	82	3	65
Ken	138	181	107	45	4509	69	237	134	237	240	553	107	0	75
Lan	9	136	86	40	4613	36	212	110	176	195	1286	158	64	23
Var	12	151	83	36	5085	46	225	126	216	217	726	99	10	43
Arg	742	143	114	38	6097	16	293	69	219	226	744	123	6	59
Sar	899	123	80	33	5651	23	241	71	197	200	825	125	9	55
Pug	128	159	87	35	5720	49	247	133	234	234	575	75	18	40
Cat	663	127	71	31	5435	25	226	175	62	199	887	99	46	21
Tos	173	151	88	33	6151	35	266	121	231	231	709	97	20	34
Sin	161	149	71	42	3472	72	168	112	190	194	819	127	5	64
