Sample	Bio1	Bio2	Bio3	Bio4	Bio5	Bio6	Bio7	Bio8	Bio9	Bio10	Bio11	Bio12	Bio13	Bio14	Lat	Long
Arg	742	143	46	38	6097	16	293	69	219	226	744	123	6	59	36.54	36.54
Cat	663	127	22	31	5435	25	226	175	62	199	887	99	46	21	41.85	41.85
Cor	337	141	15	29	5019	55	198	121	206	209	639	92	9	48	41.6167	41.6167
Haz	1316	123	47	38	6224	-3	304	60	207	208	573	71	9	49	36.8333	36.8333
Ken	138	181	42	45	4509	69	237	134	237	240	553	107	0	75	34.0833	34.0833
Lan	9	136	30	40	4613	36	212	110	176	195	1286	158	64	23	43.75	43.75
Mon	723	133	34	43	4183	44	214	93	186	191	731	111	4	63	37.3167	37.3167
Pug	128	159	31	35	5720	49	247	133	234	234	575	75	18	40	40.5667	40.5667
Sar	899	123	27	33	5651	23	241	71	197	200	825	125	9	55	39.0833	39.0833
Sic	273	161	24	34	5187	63	219	144	227	230	432	82	3	65	37.1167	37.1167
Sin	161	149	22	42	3472	72	168	112	190	194	819	127	5	64	38.75	38.75
Taz	318	187	50	39	6284	49	311	111	271	271	521	86	1	66	34.2	34.2
Tol	545	151	48	36	6733	20	319	77	241	241	469	59	5	45	39.3667	39.3667
Tos	173	151	31	33	6151	35	266	121	231	231	709	97	20	34	42.4167	42.4167
Tun	20	182	37	40	5430	73	245	116	249	254	825	152	3	70	36.95	8.85
Var	12	151	28	36	5085	46	225	126	216	217	726	99	10	43	43.13	6.25
